system:index,meanCO,time,.geo
20190510T063437_20190516T060127,0.038641145522095265,1557471371000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190511T061539_20190517T053600,0.04036303609609604,1557556633000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190512T073812_20190518T070346,0.044174705515270266,1557647986000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190513T071914_20190519T064536,0.0629893005596293,1557733248000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190514T070015_20190520T062648,0.04037446363679321,1557818509000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190515T064117_20190522T101235,0.03576565394781576,1557903771000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190516T062219_20190522T122222,0.04051337414673252,1557989033000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190516T080349_20190522T122414,0.03829597014665567,1557995124000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190517T074450_20190523T071044,0.03799222408716336,1558080385000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190518T072552_20190524T065332,0.04052371175316765,1558165646000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190519T070653_20190525T063521,0.04451667011841793,1558250907000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190520T064754_20190526T061519,0.04197428374665352,1558336168000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190521T062855_20190527T055359,0.04130126955675083,1558421429000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190522T075126_20190528T071226,0.03525204584002494,1558512780000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190523T073227_20190529T070223,0.04877272850289134,1558598041000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190524T071328_20190530T064110,0.03475138806974499,1558683303000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190525T065429_20190531T061957,0.035826545170869445,1558768562000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190526T063529_20190601T060052,0.036616278481522074,1558853823000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190527T061629_20190602T054106,0.03792448090879318,1558939084000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190527T075759_20190602T072155,0.039268812530250025,1558945173000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190528T073900_20190603T070123,0.0383989043002262,1559030434000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190529T072000_20190604T064121,0.041332553383142706,1559115694000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190530T070100_20190605T062359,0.04034248449442711,1559200954000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190531T064200_20190606T060408,0.04365068836530407,1559286214000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190601T080430_20190607T072523,0.03582192584872246,1559377564000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190603T072629_20190609T065137,0.04527606544445947,1559548083000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190604T070728_20190610T062810,0.04189294307537081,1559633342000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190605T064828_20190611T060958,0.04490804050835051,1559718602000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190606T062927_20190612T055120,0.03744418074225808,1559803862000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190607T075156_20190613T071041,0.04590888659057675,1559895210000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190608T073255_20190614T103211,0.04181459226044055,1559980470000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190609T071354_20190615T063306,0.04553816121829303,1560065728000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190610T065452_20190616T062036,0.040917165404147623,1560150986000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190611T063551_20190617T060115,0.03385725085552681,1560236245000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T061649_20190618T054344,0.039707249045728046,1560321504000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T075819_20190618T072439,0.041779324412345886,1560327594000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190613T073918_20190619T075602,0.03916710579664914,1560412852000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190614T072016_20190620T063846,0.03697984015197366,1560498110000,"{""type"":""MultiPoint"",""coordinates"":[]}"
